,SSEE,0,1,mean [MWh],std [MWh]
0,Alonso de Cordova,20.24,20.169999999999998,20.2,0.04
1,Altamirano,5.880000000000001,5.870000000000001,5.88,0.01
2,Andes,25.549999999999997,25.45,25.5,0.05
3,Apoquindo,22.72,22.64,22.68,0.04
4,Bicentenario,1.5899999999999999,1.58,1.58,0.01
5,Brasil,21.98,21.91,21.94,0.04
6,Carrascal,7.0,6.97,6.98,0.02
7,Chacabuco,5.57,5.550000000000001,5.56,0.01
8,La Cisterna,19.180000000000003,19.1,19.14,0.04
9,Club Hipico,21.590000000000003,21.52,21.56,0.04
10,La Dehesa,23.42,23.330000000000002,23.38,0.05
11,La Reina,7.01,6.99,7.0,0.01
12,Las Acacias,3.7199999999999998,3.7,3.71,0.01
13,Pudahuel,3.36,3.35,3.36,0.01
14,Lo Prado,1.29,1.29,1.29,0.0
15,Lo Valledor,11.23,11.19,11.21,0.02
16,Lord Cochrane,20.419999999999998,20.36,20.39,0.03
17,Los Dominicos,15.169999999999998,15.1,15.13,0.04
18,Macul,7.01,6.99,7.0,0.01
19,Maipu,2.2199999999999998,2.2199999999999998,2.22,0.0
20,Mariscal,4.43,4.42,4.42,0.01
21,Ochagavia,8.549999999999999,8.52,8.54,0.02
22,Pajaritos,5.48,5.46,5.47,0.01
23,Panamericana,2.1399999999999997,2.1399999999999997,2.14,0.0
24,Quilicura,1.9,1.9,1.9,0.0
25,Recoleta,14.49,14.43,14.46,0.03
26,San Bernardo,3.4799999999999995,3.4699999999999998,3.47,0.01
27,San Cristobal,29.909999999999997,29.799999999999997,29.85,0.06
28,San Joaquin,13.930000000000001,13.88,13.9,0.03
29,San Jose,6.09,6.07,6.08,0.01
30,San Pablo,4.11,4.09,4.1,0.01
31,Santa Elena,15.49,15.42,15.46,0.04
32,Santa Marta,4.01,3.99,4.0,0.01
33,Santa Raquel,10.8,10.76,10.78,0.02
34,Santa Rosa,5.85,5.83,5.84,0.01
35,Vitacura,31.130000000000003,31.02,31.08,0.06
